"","id","hexaco1","hexaco2","hexaco3","hexaco4","hexaco5","hexaco6","hexaco7","hexaco8","hexaco9","hexaco10","hexaco11","hexaco12","hexaco13","hexaco14","hexaco15","hexaco16","hexaco17","hexaco18","hexaco19","hexaco20","hexaco21","hexaco22","hexaco23","hexaco24","hexaco25","hexaco26","hexaco27","hexaco28","hexaco29","hexaco30","hexaco31","hexaco32","hexaco33","hexaco34","hexaco35","hexaco36","hexaco37","hexaco38","hexaco39","hexaco40","hexaco41","hexaco42","hexaco43","hexaco44","hexaco45","hexaco46","hexaco47","hexaco48","hexaco49","hexaco50","hexaco51","hexaco52","hexaco53","hexaco54","hexaco55","hexaco56","hexaco57","hexaco58","hexaco59","hexaco60","hexaco61","hexaco62","hexaco63","hexaco64","hexaco65","hexaco66","hexaco67","hexaco68","hexaco69","hexaco70","hexaco71","hexaco72","hexaco73","hexaco74","hexaco75","hexaco76","hexaco77","hexaco78","hexaco79","hexaco80","hexaco81","hexaco82","hexaco83","hexaco84","hexaco85","hexaco86","hexaco87","hexaco88","hexaco89","hexaco90","hexaco91","hexaco92","hexaco93","hexaco94","hexaco95","hexaco96","hexaco97","hexaco98","hexaco99","hexaco100","hexaco101","hexaco102","hexaco103","hexaco104","hexaco105","hexaco106","hexaco107","hexaco108","hexaco109","hexaco110","hexaco111","hexaco112","hexaco113","hexaco114","hexaco115","hexaco116","hexaco117","hexaco118","hexaco119","hexaco120","hexaco121","hexaco122","hexaco123","hexaco124","hexaco125","hexaco126","hexaco127","hexaco128","hexaco129","hexaco130","hexaco131","hexaco132","hexaco133","hexaco134","hexaco135","hexaco136","hexaco137","hexaco138","hexaco139","hexaco140","hexaco141","hexaco142","hexaco143","hexaco144","hexaco145","hexaco146","hexaco147","hexaco148","hexaco149","hexaco150","hexaco151","hexaco152","hexaco153","hexaco154","hexaco155","hexaco156","hexaco157","hexaco158","hexaco159","hexaco160","hexaco161","hexaco162","hexaco163","hexaco164","hexaco165","hexaco166","hexaco167","hexaco168","hexaco169","hexaco170","hexaco171","hexaco172","hexaco173","hexaco174","hexaco175","hexaco176","hexaco177","hexaco178","hexaco179","hexaco180","hexaco181","hexaco182","hexaco183","hexaco184","hexaco185","hexaco186","hexaco187","hexaco188","hexaco189","hexaco190","hexaco191","hexaco192","hexaco193","hexaco194","hexaco195","hexaco196","hexaco197","hexaco198","hexaco199","hexaco200","sample","missing_hexacoitems","missing_demographics","retain","sincerity","fearfulness","socialselfesteem","forgiveness","organization","aestheticappreciation","fairness","anxiety","socialboldness","gentleness","diligence","inquisitiveness","greedavoidance","dependence","sociability","flexibility","perfectionism","creativity","modesty","sentimentality","liveliness","patience","prudence","unconventionality","altruism","honestyhumility","emotionality","extraversion","agreeableness","conscientiousness","openness","other","matched","hexaco_global_ml","hexaco_global_pca","hexaco_global_unit","hexaco_items_global_ml","mahalanobis_distance_applicant","mahalanobis_distance_research","proximity_to_ideal_applicant","proximity_to_ideal_research","modal_distance_applicant","modal_proximity_applicant","prop_extreme","weighted_desirability","mean_agreement"
"2638",213518,4,1,4,4,3,1,2,4,4,5,5,5,4,3,5,2,4,2,1,4,1,1,5,5,2,5,5,2,4,5,1,1,1,5,5,2,4,3,3,5,2,3,2,4,4,1,1,1,2,5,5,4,4,2,2,4,2,3,4,4,2,2,4,1,3,5,4,5,5,5,1,3,5,3,1,4,3,5,1,4,3,1,2,5,1,4,2,2,2,2,4,1,1,5,3,1,1,3,1,4,3,2,5,1,1,2,2,5,1,4,5,3,2,4,1,5,4,5,5,3,4,1,1,4,2,1,5,5,4,4,1,2,5,4,2,3,3,4,1,1,5,2,4,3,5,3,1,2,4,5,4,5,5,2,1,4,1,4,1,2,4,4,2,2,2,4,2,3,1,4,2,2,1,4,4,2,1,2,2,1,1,2,4,4,4,4,1,4,1,5,2,1,4,4,4,4,5,1,1,1,"applicant",0,0,TRUE,4.25,1.875,4.75,4,3.5,4.625,3.5,2,4.125,3.75,4.25,4.5,4.125,3,4,3.75,3.5,3.5,4,4.5,4.625,4.5,4.375,4,4.5,3.96875,2.84375,4.375,4,3.90625,4.15625,4.5,TRUE,1.05850546145358,1.20837062461443,17.5625,1.27999882578108,301.773224507567,273.144959119571,-301.773224507567,-273.144959119571,0.67,-0.67,0.425,0.280346229374244,2.97
"2639",217110,4,1,4,4,3,2,1,2,4,2,4,5,4,3,4,2,4,1,2,3,2,1,4,5,3,2,4,2,2,4,4,3,2,3,3,2,4,2,2,3,2,2,4,4,3,2,2,2,2,4,4,4,3,4,2,3,3,4,4,4,2,2,4,2,3,4,4,4,4,2,2,3,3,4,2,5,4,4,1,4,3,2,4,4,4,4,4,2,2,4,2,2,2,4,3,2,2,2,1,4,2,2,4,2,2,4,2,5,2,4,5,4,3,4,1,2,4,4,4,4,4,2,1,4,3,2,5,4,3,4,2,3,1,4,4,2,2,5,2,1,4,2,3,2,4,3,2,3,2,4,1,4,4,2,2,4,3,3,2,2,4,4,2,2,2,2,3,3,2,4,1,2,2,4,1,3,3,2,2,2,2,2,4,2,4,2,1,4,2,4,3,1,4,4,4,4,5,2,1,2,"applicant",0,0,TRUE,3.5,2.5,4.375,4,2.875,3.75,4.625,2.375,3.5,3.375,3.875,4.125,3.75,2.75,3.875,3.875,3.5,4.25,4.25,3.75,3.875,3.875,3.5,3.75,4.25,4.03125,2.84375,3.90625,3.78125,3.4375,3.96875,4.25,TRUE,0.306234854249971,0.34964219658033,16.28125,0.331922490494426,151.047027423451,135.559388472693,-151.047027423451,-135.559388472693,0.415,-0.415,0.12,0.271406065822695,2.915
"2640",100593,4,1,4,4,3,2,1,2,4,4,4,4,3,2,2,2,4,2,3,2,2,2,4,4,3,4,4,3,3,5,4,2,2,3,4,1,4,2,3,4,2,2,3,2,4,2,2,2,2,4,4,4,4,2,2,3,2,2,3,4,2,2,3,2,3,3,4,2,4,3,2,4,4,4,2,4,4,4,2,4,3,2,3,3,2,3,3,3,3,3,2,3,2,4,4,2,2,3,2,4,4,2,3,2,2,4,2,4,2,4,3,4,3,4,2,3,3,3,4,4,4,2,2,4,2,2,5,4,4,4,2,2,1,4,3,2,3,5,2,3,4,2,4,2,4,2,2,2,3,4,2,4,4,2,2,4,2,2,3,2,4,4,2,3,3,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,3,2,4,2,2,3,2,4,2,2,3,3,4,4,4,2,2,2,"research",0,0,TRUE,3.625,2,4,3.875,3.375,4.125,4.125,2.125,3.625,3.375,3.75,4,4,2.625,2.875,3.875,3.5,3.875,3.75,2.625,3.75,3.75,4,3.5,3.75,3.875,2.34375,3.5625,3.71875,3.65625,3.875,3.75,TRUE,0.158887567198976,0.281849318356187,16.34375,0.0271243316105748,90.189879960241,74.5852947289994,-90.189879960241,-74.5852947289994,0.425,-0.425,0.035,0.216339878095665,2.875
"2642",215948,4,1,4,4,3,2,1,4,5,4,5,3,5,3,4,1,4,2,1,1,1,1,4,5,3,4,4,3,4,4,5,2,1,4,5,2,4,1,2,4,1,1,4,3,4,1,2,1,1,4,4,4,4,3,1,4,4,4,4,4,2,1,3,1,3,4,4,4,4,2,2,4,4,4,2,4,2,3,1,2,4,2,3,3,1,2,2,2,3,2,2,2,2,4,4,2,2,3,2,4,3,2,4,2,2,3,1,4,2,4,3,4,4,4,1,3,4,4,4,4,4,2,1,3,2,2,5,4,3,4,2,4,1,4,4,2,4,3,2,2,4,2,4,2,4,2,2,2,2,3,1,5,4,4,1,4,1,4,1,1,4,4,2,2,2,3,3,2,1,4,1,2,2,3,1,3,3,2,1,2,1,2,4,2,4,2,1,3,1,4,2,3,4,5,5,4,4,2,1,2,"applicant",0,0,TRUE,3.875,2,4.25,3.75,3.75,3.5,4.875,2.75,4,3.875,4.5,3.5,4.625,2.875,3.875,4.375,3.375,3.75,4.375,3.25,4.25,3.875,3.875,3.625,4.375,4.4375,2.71875,4.09375,3.96875,3.875,3.59375,4.375,TRUE,0.94480898885445,1.0619190507022,17.25,0.956585195948462,164.422779314087,147.076492674612,-164.422779314087,-147.076492674612,0.425,-0.425,0.23,0.321983400012742,2.825
"2643",101507,4,1,4,4,3,2,2,2,1,5,2,2,4,3,1,1,2,4,2,1,2,1,4,4,2,3,5,3,2,3,4,1,2,4,2,2,3,2,5,3,4,4,4,2,3,1,1,2,1,2,5,4,4,4,1,2,3,4,2,4,2,2,2,1,2,2,5,2,4,4,1,2,4,2,1,4,4,3,1,4,2,5,1,4,1,4,3,3,2,2,1,4,1,4,4,2,3,2,1,4,2,2,4,5,4,5,3,4,2,3,3,4,5,3,1,4,2,4,4,4,4,4,1,4,4,2,4,5,4,5,3,5,1,3,3,2,4,3,2,2,4,2,4,2,4,4,1,1,3,4,1,5,3,4,3,2,1,3,4,1,4,4,1,2,4,2,1,3,1,4,1,2,2,3,2,3,4,2,2,4,1,4,3,2,2,4,1,2,2,5,2,4,3,4,5,4,5,2,1,1,"research",0,0,TRUE,3.875,3.25,4.875,4,2.75,3.375,4.375,2.125,2.625,4,2.5,2.875,4.375,2.5,2.25,4.125,2.125,2.5,4.625,2.625,3.5,4.375,4.375,3.125,4.375,4.3125,2.625,3.3125,4.125,2.9375,2.96875,4.375,TRUE,-0.106188491347486,-0.337490384487423,15.03125,-0.0521101560144395,440.601531030088,230.00522173963,-440.601531030088,-230.00522173963,0.88,-0.88,0.26,0.165321962012791,2.83
"2644",101629,4,1,4,4,3,2,3,4,4,2,5,3,3,4,4,4,4,2,4,2,2,2,4,4,4,5,5,3,3,3,5,3,1,4,5,2,4,4,2,4,2,1,1,4,4,2,2,2,2,5,5,4,4,3,2,2,4,4,5,4,3,3,3,1,4,4,5,3,4,2,2,4,4,2,1,4,4,4,2,2,4,2,4,2,2,3,3,2,4,4,5,2,2,4,4,2,2,3,1,4,2,3,4,3,2,4,2,5,1,4,4,4,3,5,2,3,4,4,4,4,2,2,1,4,2,1,4,2,4,4,1,1,3,4,3,3,2,4,2,2,4,2,4,2,4,3,2,3,4,4,2,4,4,4,2,4,2,3,3,2,5,5,2,2,2,4,2,2,1,4,2,3,4,3,1,3,2,3,4,2,2,4,4,2,4,2,2,3,2,4,3,3,4,4,4,4,5,3,4,1,"research",0,0,TRUE,3.375,2.125,4.625,3.625,2.75,3.625,4.125,3.125,4.125,3.625,4.25,3.875,3.75,3.125,3.5,3.75,4,4.375,3.125,3.375,4,3.5,3.875,3.375,3.875,3.59375,2.9375,4.0625,3.625,3.71875,3.8125,3.875,TRUE,0.196538201063987,0.184225491337508,15.875,0.0335502363798947,290.712878989355,164.87883581703,-290.712878989355,-164.87883581703,0.615,-0.615,0.15,0.215240604338687,3.085
"2645",101973,4,1,4,4,3,3,2,4,3,2,5,3,4,2,3,4,4,2,3,4,2,1,5,4,2,4,4,2,3,3,4,4,2,4,4,2,2,2,3,3,4,1,2,4,5,1,2,1,2,4,5,4,4,4,2,3,2,4,5,4,3,2,3,4,4,5,4,4,5,5,2,4,4,4,2,4,4,3,2,2,4,2,4,2,3,4,4,3,5,3,3,3,2,4,4,3,2,3,2,4,2,3,3,2,2,4,2,4,3,4,3,4,5,5,2,3,2,4,3,4,4,1,1,4,3,3,4,2,3,4,1,2,1,4,3,4,5,4,2,3,5,2,5,4,4,1,3,3,2,3,4,4,4,4,2,4,3,3,2,2,5,4,2,4,3,4,2,2,2,3,4,2,2,3,2,3,4,3,4,2,2,4,4,4,2,3,2,4,2,4,2,3,4,4,4,4,4,2,1,3,"research",0,0,TRUE,3.75,1.875,3.875,3.875,3.125,2.875,3.625,3.25,3.25,3.625,4.125,3.625,3.375,2.375,3.125,2.75,3,4.125,3.5,3.375,4,4.125,4.125,3.625,4,3.5625,2.71875,3.5625,3.59375,3.59375,3.5625,4,TRUE,-0.245228381442317,-0.316635143925336,15.15625,-0.421082663049579,300.060684055134,180.298281989682,-300.060684055134,-180.298281989682,0.715,-0.715,0.13,0.138649146741797,3.145
"2646",217300,4,1,4,4,3,4,1,2,5,3,5,5,2,2,5,3,4,2,3,4,2,2,4,4,4,4,5,4,2,2,4,2,1,2,5,3,3,3,2,4,2,2,1,4,4,2,2,1,2,5,5,3,4,4,2,2,4,3,4,5,4,2,5,4,4,5,3,4,4,2,1,2,1,2,2,3,4,4,1,4,5,3,4,5,4,5,4,4,2,2,2,1,1,4,3,1,2,4,2,4,4,4,4,1,1,3,1,5,3,4,5,3,4,4,2,4,4,4,4,4,2,1,1,2,4,1,5,3,4,2,1,2,2,4,4,3,1,2,3,4,5,1,3,2,4,2,1,4,2,4,1,4,5,2,1,4,3,3,1,4,2,4,4,2,2,2,3,4,2,4,1,3,1,4,1,3,2,4,2,2,3,3,5,4,5,3,3,4,1,3,2,1,2,4,3,4,4,2,1,3,"applicant",0,0,TRUE,2.875,1.875,4.625,2.875,3.25,3.125,4.625,2.125,4.625,2.5,4.625,4.375,2.75,2.5,4.375,2.625,3.5,3.5,2.875,3.875,4.375,3.75,3.75,3.875,3.625,3.28125,2.59375,4.5,2.9375,3.78125,3.71875,3.625,TRUE,-0.13743362791782,-0.0348784016584824,15.625,0.0798312129870302,262.262093212101,234.611381089411,-262.262093212101,-234.611381089411,0.775,-0.775,0.255,0.177829710534119,2.995
"2647",214960,4,1,4,4,4,1,1,2,4,4,4,3,3,2,4,2,3,2,2,4,1,1,4,4,2,3,4,2,4,3,5,2,2,4,5,2,4,2,2,4,2,3,4,4,4,1,2,3,2,4,4,4,5,3,1,2,3,4,3,4,2,3,4,1,4,4,4,4,5,2,1,1,5,3,1,4,1,4,1,3,4,1,2,3,3,4,2,2,4,2,2,2,1,5,4,3,1,3,2,4,3,2,5,1,2,4,1,5,2,4,5,4,4,3,1,5,3,4,4,3,5,2,1,4,1,2,5,5,3,4,1,2,1,4,3,2,2,5,2,1,4,2,4,2,5,3,1,2,1,2,1,5,4,4,1,3,2,4,4,2,5,2,1,2,1,2,2,1,1,5,1,1,1,4,1,3,2,2,1,3,2,4,4,1,5,2,1,3,2,5,2,3,4,4,4,4,5,1,1,2,"applicant",0,0,TRUE,4.375,2.25,4.5,4.125,4.5,3.625,5,1.875,3.75,4.125,4.25,3.625,3.875,2.625,3.75,4.25,3.875,3.375,4.375,4.125,4.375,4.25,4.125,2.5,4.375,4.40625,2.71875,4.09375,4.1875,4.1875,3.28125,4.375,TRUE,1.22006872222597,1.28894398773024,17.4375,1.37793820864762,167.501146930747,161.634894725002,-167.501146930747,-161.634894725002,0.475,-0.475,0.31,0.349266077683484,2.835
"2648",217622,4,1,4,4,4,1,1,2,4,4,4,3,4,1,4,2,4,1,1,4,1,1,3,4,4,4,5,2,3,3,5,1,1,4,4,3,4,1,2,3,2,1,2,4,3,1,2,2,1,4,4,4,5,3,1,3,3,3,3,4,2,2,4,1,3,4,4,4,5,5,1,3,3,3,1,4,1,4,1,3,3,2,3,3,2,4,3,2,3,2,2,1,1,4,4,1,1,2,1,4,4,2,5,1,1,4,2,4,2,5,5,2,2,3,1,4,3,4,4,4,4,2,1,4,2,1,5,5,3,4,1,3,1,4,3,2,1,4,1,1,3,2,3,2,4,2,1,3,2,4,1,4,5,3,1,4,3,3,2,2,4,4,1,1,2,2,2,2,1,3,1,2,1,3,1,3,2,2,2,2,1,2,4,2,4,2,1,5,1,5,2,3,4,5,5,3,5,1,1,1,"applicant",0,0,TRUE,3.75,2.375,4.75,3.875,4.25,3.875,5,2,4,3.75,4,3.5,4.125,2.5,3.875,3.75,3.875,3.875,4.375,4.5,4.125,4.5,3.875,3.375,4.625,4.3125,2.84375,4.1875,3.96875,4,3.65625,4.625,TRUE,1.0091735377538,1.11748242835322,17.28125,1.37543652001071,137.084597103727,123.884334681344,-137.084597103727,-123.884334681344,0.46,-0.46,0.33,0.352340675794107,2.71
"2650",101167,4,1,4,4,4,1,1,2,5,5,5,4,4,2,4,2,2,2,1,4,1,1,4,4,3,4,5,2,3,2,5,1,1,2,4,1,3,2,2,3,3,2,4,4,5,1,2,2,1,2,5,4,4,2,1,2,4,3,2,5,3,2,2,1,2,4,5,4,5,5,1,2,5,2,1,3,2,4,1,3,3,1,3,4,2,2,2,2,1,3,2,1,1,2,4,2,1,2,1,4,4,2,5,1,1,5,1,4,1,4,4,4,4,3,1,5,3,4,5,4,5,4,1,3,2,1,5,5,3,3,1,1,1,2,3,2,2,5,1,1,4,2,4,1,4,2,1,2,2,4,1,5,5,2,1,4,1,4,1,2,4,3,1,2,2,2,4,1,1,5,1,1,1,4,1,2,1,2,1,1,1,2,5,2,4,2,1,4,1,5,2,1,3,5,5,5,5,1,1,1,"research",0,0,TRUE,4.25,2.75,4.875,3.875,4,4,5,1.625,4.375,3.625,4.25,4.5,4.25,3.25,3.875,4,2.75,3.75,4.75,4.375,4.5,4.25,4,3.125,4.75,4.5625,3,4.40625,3.9375,3.75,3.84375,4.75,TRUE,1.10463108883179,1.24010153440503,17.5,1.73374689774516,181.750777178275,157.592239215052,-181.750777178275,-157.592239215052,0.62,-0.62,0.43,0.347278899813502,2.68
"2651",214991,4,1,4,4,4,1,1,3,4,3,4,4,4,3,4,3,3,3,1,4,2,2,3,4,4,4,4,3,4,3,5,2,2,3,4,2,3,2,2,4,2,3,3,4,3,2,3,3,1,5,4,4,4,1,1,3,3,3,4,5,1,2,4,1,4,3,4,4,5,3,1,3,3,4,1,4,3,5,1,3,3,2,3,4,3,4,3,2,3,2,1,2,1,3,3,2,1,3,2,4,3,2,4,2,2,4,2,5,2,4,4,4,3,4,2,4,3,3,4,4,4,2,1,3,2,2,5,3,3,4,1,1,3,3,4,3,2,3,1,2,4,2,4,3,5,3,1,3,2,4,2,4,4,3,2,4,3,3,2,2,4,4,1,2,2,3,2,3,2,3,1,2,2,3,1,3,3,3,2,2,1,2,4,2,4,3,1,4,2,4,3,2,4,5,5,5,5,1,1,1,"applicant",0,0,TRUE,3.75,2.125,4.5,3.625,3.75,4.125,4.75,2.625,3.5,3.375,4,4.375,3.75,2.875,3.875,3.875,3.625,3.125,4.5,4,4,3.5,3.625,3.5,4.875,4.1875,2.90625,3.96875,3.59375,3.75,3.78125,4.875,TRUE,0.380143778429354,0.471531300212121,16.375,0.562152390484577,120.434573380113,98.2260144419084,-120.434573380113,-98.2260144419084,0.435,-0.435,0.2,0.284125431019661,2.895
"2653",100568,4,1,4,4,4,1,1,4,3,2,4,4,2,4,4,1,4,2,1,4,1,2,4,4,4,4,5,2,4,4,5,3,2,2,5,2,2,2,2,4,2,1,4,4,5,1,2,1,2,1,5,4,5,5,1,3,4,4,4,5,2,3,4,2,2,5,4,3,5,2,2,4,2,3,2,4,1,2,2,2,2,2,4,3,2,2,1,2,1,2,2,1,1,4,2,2,1,2,1,4,4,1,5,2,2,4,3,3,3,4,4,4,4,4,1,2,5,2,4,3,3,2,1,4,1,1,4,2,1,4,1,2,4,2,3,2,2,5,2,2,5,2,4,2,3,2,2,3,1,4,1,2,1,2,2,2,4,4,1,2,3,5,3,1,1,3,2,2,2,2,1,2,2,4,1,4,5,2,3,2,2,2,3,2,4,1,1,5,1,4,2,2,4,5,5,4,4,1,1,1,"research",0,0,TRUE,3.125,2.875,4.625,3.875,4.5,3.75,4.75,3.5,2.5,3.25,4,3.625,2.875,3.625,4,4.125,3,4.375,4.25,4,5,3.5,3.75,3.5,4.625,3.75,3.5,4.03125,3.6875,3.8125,3.8125,4.625,TRUE,0.238266950935512,0.13981257598432,15.59375,0.348931968672962,380.569039551788,234.243285339245,-380.569039551788,-234.243285339245,0.7,-0.7,0.29,0.232733438251599,2.73
"2654",101875,4,1,4,4,4,1,2,2,4,3,4,4,4,2,3,2,5,3,4,2,5,2,4,4,4,4,5,3,4,3,4,1,3,4,4,2,3,1,3,4,2,3,2,3,5,2,3,2,1,4,5,4,4,2,4,3,4,3,4,4,4,1,3,2,4,5,4,4,5,5,2,2,2,4,2,4,1,5,2,4,4,1,3,5,4,5,3,4,3,2,3,3,1,5,4,2,2,4,1,3,4,1,2,1,2,4,1,5,4,4,3,4,2,4,1,3,5,4,4,3,2,2,1,3,1,2,4,5,5,4,2,1,4,5,3,2,2,4,3,2,4,2,4,2,5,2,1,3,2,4,2,4,5,4,2,4,4,3,1,2,4,4,2,3,1,2,2,2,2,1,1,2,2,4,1,1,2,2,3,2,2,2,4,3,3,4,3,4,1,5,2,2,3,3,4,4,4,3,2,1,"research",0,0,TRUE,3.25,2.25,4.75,3.5,4.25,4.25,3.625,1.625,4.125,3.875,3.875,4.375,2.625,2.125,3.375,3.625,3.875,3.375,3.25,3.25,4.375,4.375,3.875,3.125,3.75,3.1875,2.3125,4.15625,3.84375,3.96875,3.78125,3.75,TRUE,0.513536617963611,0.576800639695189,16.625,0.486403872661193,287.935885487654,185.166655390871,-287.935885487654,-185.166655390871,0.62,-0.62,0.23,0.218982466649224,3
"2655",215537,4,1,4,4,4,1,2,2,4,3,5,5,2,2,4,2,4,2,2,3,2,2,4,4,4,3,4,5,4,4,4,2,2,4,5,2,3,1,2,4,2,3,2,4,4,2,2,2,2,3,4,2,4,2,2,3,4,3,4,2,4,2,3,2,3,4,4,4,5,3,1,4,3,2,2,3,2,4,1,4,4,2,3,4,4,4,3,3,3,2,3,2,2,4,4,2,4,3,2,3,4,2,4,2,3,4,1,4,2,3,4,3,4,3,1,4,4,3,5,4,3,3,2,3,2,1,5,4,5,4,2,3,3,4,3,2,2,5,2,2,4,1,4,4,4,3,1,4,2,4,1,5,4,2,1,3,2,3,2,3,4,3,2,2,2,4,2,4,2,4,1,3,2,4,1,2,2,3,2,2,3,2,4,2,4,2,2,2,1,5,2,1,3,3,3,3,4,2,3,3,"applicant",0,0,TRUE,3,2.75,4.25,2.625,4,4.25,4.5,2,4,3.375,4.375,3.625,2.875,2.375,3.625,3.625,3.5,3.5,3.75,3.625,4.25,3.75,4.25,4.125,3.25,3.53125,2.6875,4.03125,3.34375,4.03125,3.875,3.25,TRUE,0.147321325052373,0.270277864065272,16.125,0.209083349349412,178.707916222101,157.538780958202,-178.707916222101,-157.538780958202,0.53,-0.53,0.135,0.230332970909494,2.94
"2656",100719,4,1,4,4,4,1,2,3,5,2,5,4,2,4,4,1,4,2,4,2,2,2,5,5,4,2,5,2,2,2,5,4,1,4,5,4,2,2,1,4,1,1,2,2,1,1,2,1,2,2,5,3,2,2,1,4,3,2,4,4,3,4,4,4,4,5,4,3,3,2,2,4,4,2,1,4,5,4,2,2,4,4,4,3,3,2,3,2,5,3,4,1,3,3,2,1,2,2,1,4,1,2,4,2,1,2,2,4,3,5,5,4,2,4,2,4,3,3,4,4,4,1,1,4,5,1,5,3,4,3,1,2,3,2,3,3,1,4,1,3,3,1,4,4,3,1,4,4,3,3,2,4,5,2,3,3,3,4,2,4,4,4,4,2,2,2,2,4,2,4,2,4,3,3,4,3,2,4,4,1,2,2,4,4,5,4,4,4,3,5,2,1,4,5,5,4,5,2,1,1,"research",0,0,TRUE,3.375,2.625,4.375,3.375,2.125,3.75,4.125,3.125,4.375,2.375,4,3.625,2.875,3.875,4,3.25,4.5,3.875,2.875,3.375,3,3.875,3.875,4.5,4.625,3.3125,3.25,3.9375,3.21875,3.625,3.9375,4.625,TRUE,-0.426477876976792,-0.500975504259083,14.78125,-0.482461749951925,438.201722211859,242.796799646133,-438.201722211859,-242.796799646133,0.84,-0.84,0.25,0.145136487684985,2.98
"2657",215895,4,1,4,4,4,1,2,3,5,2,5,4,4,2,5,3,4,2,4,2,2,1,2,5,2,4,5,2,2,5,5,2,2,4,5,2,4,2,1,4,2,1,4,3,4,1,4,1,2,5,5,4,5,2,1,3,5,5,5,5,2,2,5,3,4,3,4,4,5,4,2,5,4,4,1,5,3,5,2,1,4,4,4,4,4,5,2,2,4,5,3,2,2,4,4,1,2,4,1,4,4,1,5,1,2,4,2,5,1,5,5,4,4,4,2,4,5,5,3,5,2,3,1,4,2,1,5,5,5,4,2,2,2,5,5,2,2,5,3,2,3,1,4,5,4,2,2,2,2,4,1,4,5,4,2,5,1,4,1,2,4,5,4,4,2,2,3,4,2,4,2,2,1,5,1,4,2,2,4,2,2,2,5,2,4,1,1,4,2,5,3,1,5,5,3,4,5,2,1,1,"applicant",0,0,TRUE,3.5,1.875,4.625,4.125,3.875,4.75,4.75,2.625,4.5,3.625,4.125,4.375,4,2.625,4.875,3.75,3.75,4.5,3.375,3.375,4.125,4.625,3.125,4.875,4.5,3.90625,2.625,4.53125,4.03125,3.71875,4.625,4.5,TRUE,1.19219945148398,1.45410601353226,18.1875,0.845333260979441,255.802215878304,212.794553939086,-255.802215878304,-212.794553939086,0.62,-0.62,0.365,0.250889424686053,3.17
"2658",101680,4,1,4,4,4,1,2,4,3,2,2,5,4,2,2,2,5,2,2,1,1,2,4,4,2,4,4,4,3,5,1,2,2,2,5,1,4,1,4,3,2,1,3,4,4,2,3,2,1,4,4,4,2,3,3,4,2,1,4,5,4,2,2,4,4,4,4,4,4,2,1,4,4,5,2,4,2,5,2,4,2,4,4,5,4,5,3,2,4,3,2,3,3,4,4,2,3,3,1,4,2,2,4,4,2,4,2,5,2,4,3,2,2,4,2,3,3,2,2,4,4,2,2,3,1,1,5,2,3,2,1,2,1,5,2,4,1,5,2,3,3,3,4,4,4,2,2,2,4,4,2,4,5,4,1,4,3,2,2,2,5,3,2,4,3,4,2,5,1,4,1,2,3,4,2,2,4,4,2,2,2,5,3,4,4,3,2,4,1,4,4,3,2,3,4,4,4,3,2,2,"research",0,0,TRUE,3.875,1.875,4.25,3.625,3.125,4.375,3.625,3,3.125,2.375,4.125,4.625,3.5,1.75,2.625,2.875,4.375,3.875,3.875,3,3.75,3.125,3.5,4,3.5,3.71875,2.40625,3.4375,3,3.78125,4.21875,3.5,TRUE,-0.458588703802971,-0.206494525851801,15.75,-0.523596789318311,407.576217319479,234.389058958822,-407.576217319479,-234.389058958822,0.8,-0.8,0.19,0.135856221480168,2.98
"2659",215148,4,1,4,4,4,1,3,2,5,4,5,4,4,2,5,3,5,1,3,1,2,1,4,5,4,4,4,3,4,3,5,2,2,3,5,4,1,1,1,4,1,2,5,3,4,2,3,2,1,5,5,4,5,2,1,5,5,2,4,4,4,1,5,2,5,5,3,3,4,4,2,3,5,2,2,4,4,5,1,3,3,2,4,4,4,4,3,4,4,2,2,3,1,4,4,3,3,4,2,4,4,1,5,1,2,4,1,5,4,4,5,3,2,4,1,4,4,4,4,4,4,2,2,4,2,1,5,4,4,4,1,3,3,1,4,2,2,5,1,2,5,1,4,3,5,2,1,3,1,2,1,4,5,2,1,2,4,2,1,1,5,5,2,3,2,2,2,2,1,4,1,4,1,5,1,4,1,3,2,2,4,4,5,2,5,1,3,3,1,5,2,1,3,5,4,4,5,5,1,4,"applicant",0,0,TRUE,3.875,2,4.375,3.5,4.125,4.25,4.75,2.625,4.375,3.25,4.625,3.5,2.25,2.375,4.625,3.625,4.625,4.375,4,3,4.375,4.375,3.875,3.625,3.625,3.71875,2.5,4.4375,3.6875,4.3125,3.9375,3.625,TRUE,0.977797446211357,1.21461535496391,17.59375,0.942088145665884,250.813382765973,225.830425113049,-250.813382765973,-225.830425113049,0.67,-0.67,0.365,0.27268787110851,3.07
